uniqueID,DraftYear,"Player Name (Last Name, First Name)",Position,Height in Ft & In,Weight in lbs,Standing vertical Jump,Maximum Vertical Jump (with steps),three-quarter court sprint,lane agility drill,Bench Press test,Drafted?,Player
1,2025,"Almansa, Izan",C,"6'9""",220.4,28.0,34.0,3.3,11.5,,No,Izan Almansa
2,2025,"Avdalas, Neoklis",SF,"6'8""",197.8,27.0,33.5,3.2,11.0,,No,Neoklis Avdalas
3,2025,"Bailey, Ace",SF-PF,"6'8""",203.0,28.0,35.0,3.0,11.0,,Yes,Ace Bailey
4,2025,"Bates, Tamar",SG,"6'4""",191.0,28.0,34.0,3.0,11.0,,No,Tamar Bates
5,2025,"Brea, Koby",SG,"6'6""",202.0,28.0,34.0,3.0,11.0,,Yes,Koby Brea
6,2025,"Broome, Johni",SF-PF,"6'9""",249.0,25.0,28.0,3.0,12.0,,Yes,Johni Broome
7,2025,"Bryant, Carter",SF-PF,"6'6""",215.0,31.0,40.0,3.0,11.0,,Yes,Carter Bryant
8,2025,"Byrd, Miles",SG,"6'5""",182.0,32.0,36.0,3.0,11.0,,No,Miles Byrd
9,2025,"Clayton Jr., Walter",PG-SG,"6'2""",199.0,30.0,37.0,3.0,11.0,,Yes,Walter Clayton Jr.
10,2025,"Clifford, Nique",PG-SG,"6'5""",202.0,31.0,36.0,3.0,11.0,,Yes,Nique Clifford
11,2025,"Condon, Alex",SF-PF,"6'11""",222.0,30.0,35.0,3.0,12.0,,No,Alex Condon
12,2025,"Coward, Cedric",PG-SG,"6'5""",213.0,33.0,39.0,3.0,11.0,,Yes,Cedric Coward
13,2025,"Demin, Egor",PG-SG,"6'8""",199.0,27.0,32.0,3.0,11.0,,Yes,Egor Demin
14,2025,"Dixon, Eric",PF,"6'8""",259.0,28.0,33.0,3.0,12.0,,No,Eric Dixon
15,2025,"Edgecombe, VJ",PG-SG,"6'4""",193.0,30.0,39.0,3.0,11.0,,Yes,VJ Edgecombe
16,2025,"Fears, Jeremiah",PG-SG,"6'2""",180.0,33.0,37.0,3.0,11.0,,Yes,Jeremiah Fears
17,2025,"Flagg, Cooper",SF-PF,"6'8""",221.0,29.0,36.0,3.0,11.0,,Yes,Cooper Flagg
18,2025,"Fland, Boogie",PG,"6'2""",172.0,,,,,,No,Boogie Fland
19,2025,"Fleming, Rasheer",SF-PF,"6'8""",232.0,27.0,33.0,3.0,11.0,,Yes,Rasheer Fleming
20,2025,"Goldin, Vladislav",C,"7'0""",253.0,27.0,30.0,4.0,12.0,,No,Vladislav Goldin
21,2025,"Haggerty, PJ",SG,"6'2""",189.0,28.0,32.0,3.0,12.0,,No,PJ Haggerty
22,2025,"Harper, Dylan",PG-SG,"6'4""",213.0,31.0,37.0,3.0,11.0,,Yes,Dylan Harper
23,2025,"Henshall, Ben",SG,"6'6""",193.0,30.0,37.0,3.0,10.0,,No,Ben Henshall
24,2025,"Jakucionis, Kasparas",PG-SG,"6'5""",205.0,29.0,35.0,3.0,11.0,,Yes,Kasparas Jakucionis
25,2025,"James, Sion",SG,"6'4""",218.0,32.0,40.0,3.0,11.0,,Yes,Sion James
26,2025,"Johnson, Tre",PG-SG,"6'5""",190.0,32.0,38.0,3.0,10.0,,Yes,Tre Johnson
27,2025,"Jones, Kam",PG,"6'3""",202.0,25.0,32.0,3.0,11.0,,Yes,Kam Jones
28,2025,"Kalkbrenner, Ryan",C,"7'1""",257.0,29.0,33.0,3.0,12.0,,Yes,Ryan Kalkbrenner
29,2025,"Knox, Karter",SF,"6'5""",214.0,32.0,40.0,3.0,11.0,,No,Karter Knox
30,2025,"Knueppel, Kon",PG-SG,"6'5""",219.0,,,,,,Yes,Kon Knueppel
31,2025,"Konan Niederhauser, Yanic",C,"6'11""",242.6,33.5,37.0,3.2,11.5,,Yes,Yanic Konan Niederhauser
32,2025,"Lanier, Chaz",PG-SG,"6'4""",206.0,33.0,39.0,3.0,11.0,,Yes,Chaz Lanier
33,2025,"Lendeborg, Yaxel",PF,"6'8""",234.6,25.5,31.5,3.3,11.7,,No,Yaxel Lendeborg
34,2025,"Luis Jr., RJ",SF,"6'6""",210.0,31.5,38.0,3.1,11.2,,No,RJ Luis Jr.
35,2025,"Maluach, Khaman",C,"7'1""",252.8,24.0,30.0,3.5,12.1,,Yes,Khaman Maluach
36,2025,"Martin, Alijah",SG,"6'2""",208.4,29.5,38.0,3.1,11.1,,Yes,Alijah Martin
37,2025,"McNeeley, Liam",SF-PF,"6'7""",214.6,30.5,36.5,3.2,11.1,,Yes,Liam McNeeley
38,2025,"Mgbako, Mackenzie",SF-PF,"6'8""",216.4,27.5,33.0,3.4,12.0,,No,Mackenzie Mgbako
39,2025,"Moore, Jalon",SF,"6'6""",203.4,32.5,39.0,3.0,11.7,,No,Jalon Moore
40,2025,"Murray-Boyles, Collin",SF-PF,"6'6""",239.2,29.5,34.5,3.2,11.2,,Yes,Collin Murray-Boyles
41,2025,"Nelson, Grant",PF,"6'10""",229.8,27.0,30.0,3.2,10.5,,No,Grant Nelson
42,2025,"Nembhard, Ryan",PG,"5'11""",175.8,26.5,32.5,3.2,11.5,,No,Ryan Nembhard
43,2025,"Newell, Asa",SF-PF,"6'9""",223.8,29.5,36.5,3.3,11.0,,Yes,Asa Newell
44,2025,"Olbrich, Lachlan",PF,"6'9""",230.2,23.5,31.0,3.5,11.9,,Yes,Lachlan Olbrich
45,2025,"Oweh, Otega",SG,"6'4""",212.6,27.5,35.0,3.2,10.9,,No,Otega Oweh
46,2025,"Pate, Dink",SG,"6'6""",200.8,24.5,32.5,3.3,10.6,,No,Dink Pate
47,2025,"Peavy, Micah",SF,"6'6""",211.6,30.5,35.5,3.1,10.9,,Yes,Micah Peavy
48,2025,"Pettiford, Tahaad",PG,"6'0""",168.8,31.0,42.0,3.2,10.6,,No,Tahaad Pettiford
49,2025,"Philon, Labaron",PG-SG,"6'3""",174.6,28.5,32.5,3.2,11.5,,No,Labaron Philon
50,2025,"Powell, Drake",SF-PF,"6'5""",200.4,37.5,43.0,3.1,10.7,,Yes,Drake Powell
51,2025,"Proctor, Tyrese",PG-SG,"6'4""",183.2,30.5,36.5,3.2,10.8,,Yes,Tyrese Proctor
52,2025,"Queen, Derik",C,"6'9""",247.8,23.5,28.0,3.5,12.5,,Yes,Derik Queen
53,2025,"Raynaud, Maxime",C,"7'0""",236.8,28.0,31.5,3.2,11.3,,Yes,Maxime Raynaud
54,2025,"Richardson, Jase",PG-SG,"6'0""",178.4,30.5,38.0,3.2,11.0,,Yes,Jase Richardson
55,2025,"Riley, Will",SF-PF,"6'8""",185.6,27.5,32.0,3.2,11.7,,Yes,Will Riley
56,2025,"Ruzic, Michael",PF,"6'11""",221.4,29.5,32.5,3.1,11.4,,No,Michael Ruzic
57,2025,"Sallis, Hunter",SG,"6'4""",181.4,31.0,37.5,3.2,11.0,,No,Hunter Sallis
58,2025,"Sanders, Kobe",SF,"6'7""",203.2,30.0,36.0,3.2,11.0,,Yes,Kobe Sanders
59,2025,"Sears, Mark",PG,"5'11""",183.4,31.0,37.5,3.3,11.0,,No,Mark Sears
60,2025,"Shulga, Max",SG,"6'4""",206.4,29.5,34.5,3.2,11.4,,Yes,Max Shulga
61,2025,"Small, Javon",PG,"6'1""",190.0,33.0,40.5,3.1,10.7,,Yes,Javon Small
62,2025,"Sorber, Thomas",C,"6'9""",262.8,,,,,,Yes,Thomas Sorber
63,2025,"Thiero, Adou",PG-SG,"6'6""",218.4,,,,,,Yes,Adou Thiero
64,2025,"Tonje, John",SG,"6'5""",211.8,30.0,37.0,3.2,11.1,,Yes,John Tonje
65,2025,"Toohey, Alex",SF,"6'8""",222.8,26.5,31.5,3.2,11.4,,Yes,Alex Toohey
66,2025,"Uzan, Milos",PG,"6'3""",186.4,26.5,35.0,3.2,10.9,,No,Milos Uzan
67,2025,"Watkins, Jamir",SF,"6'5""",214.6,31.5,37.0,3.1,11.2,,Yes,Jamir Watkins
68,2025,"Williams, Brice",SG,"6'5""",205.8,27.5,32.5,3.2,11.2,,No,Brice Williams
69,2025,"Williams, Darrion",SF,"6'4""",236.0,24.0,30.0,3.3,11.7,,No,Darrion Williams
70,2025,"Wolf, Danny",SF-PF,"6'10""",251.8,24.0,30.0,3.5,11.3,,Yes,Danny Wolf
71,2025,"Yang, Hansen",C,"7'1""",252.6,26.0,30.0,3.4,11.8,,Yes,Hansen Yang
72,2025,"Zikarsky, Rocco",C,"7'3""",257.0,27.5,31.5,3.5,11.9,,Yes,Rocco Zikarsky
73,2024,"Ajayi, Michael",SF,"6'6""",227.8,27.0,34.5,3.21,12.0,,No,Michael Ajayi
74,2024,"Ajinca, Melvin",SF,"6'7""",213.8,26.5,31.0,3.38,12.0,,No,Melvin Ajinca
75,2024,"Alexander, Trey",SG,"6'3""",187.0,27.0,32.0,3.0,11.0,,No,Trey Alexander
76,2024,"Beekman, Reece",PG,"6'1""",196.4,30.0,37.0,3.0,11.0,,No,Reece Beekman
77,2024,"Bona, Adem",C,"6'8""",243.2,35.0,40.0,3.0,11.0,,Yes,Adem Bona
78,2024,"Brazile, Trevon",PF,"6'9""",215.0,33.0,41.0,3.0,11.0,,No,Trevon Brazile
79,2024,"Bridges, Jalen",SF,"6'7""",213.4,25.0,32.0,3.0,11.0,,No,Jalen Bridges
80,2024,"Buzelis, Matas",SF,"6'9""",197.0,31.0,38.0,3.0,11.0,,Yes,Matas Buzelis
81,2024,"Carrington, Carlton",PG,"6'4""",194.8,29.0,37.0,3.0,11.28,,Yes,Carlton Carrington
82,2024,"Carter, Devin",SG,"6'2""",193.0,35.0,42.0,3.0,10.63,,Yes,Devin Carter
83,2024,"Castle, Stephon",SG,"6'6""",210.0,29.0,37.0,3.0,10.93,,Yes,Stephon Castle
84,2024,"Chomche, Ulrich",C,"6'10""",232.4,29.0,36.0,3.0,11.74,,Yes,Ulrich Chomche
85,2024,"Christie, Cam",SG,"6'4""",190.4,33.0,36.0,3.0,11.07,,Yes,Cam Christie
86,2024,"Clingan, Donovan",C,"7'2""",282.0,26.0,29.0,3.0,12.06,,Yes,Donovan Clingan
87,2024,"Collier, Isaiah",PG,"6'2""",204.6,30.0,34.0,3.0,10.77,,Yes,Isaiah Collier
88,2024,"Da Silva, Tristan",PF,"6'8""",216.8,29.0,36.0,3.0,10.81,,Yes,Tristan Da Silva
89,2024,"Dadiet, Pacome",SF,"6'8""",216.8,29.0,36.0,3.0,11.84,,Yes,Pacome Dadiet
90,2024,"Dante, N'Faly",C,"6'10""",260.2,27.0,33.0,3.0,11.55,,No,N'Faly Dante
91,2024,"Dillingham, Robert",PG,"6'1""",164.2,,,,,,Yes,Robert Dillingham
92,2024,"Djurisic, Nikola",SF,"6'7""",208.8,28.0,35.0,3.0,10.63,,Yes,Nikola Djurisic
93,2024,"Dunn, Ryan",PF,"6'6""",213.6,32.0,39.0,3.0,10.99,,Yes,Ryan Dunn
94,2024,"Edey, Zach",C,"7'4""",299.0,26.0,32.0,3.0,11.19,,Yes,Zach Edey
95,2024,"Edwards, Jesse",C,"6'12""",236.0,31.0,36.0,3.0,11.24,,No,Jesse Edwards
96,2024,"Edwards, Justin",SF,"6'6""",209.4,28.0,33.0,3.0,12.07,,No,Justin Edwards
97,2024,"Ellis, Boogie",PG-SG,"6'1""",185.0,32.0,40.0,3.0,11.98,,No,Boogie Ellis
98,2024,"Filipowski, Kyle",PF,"6'11""",229.8,27.0,33.0,3.0,11.43,,Yes,Kyle Filipowski
99,2024,"Flowers, Trentyn",SF,"6'6""",201.4,35.0,42.0,3.0,11.01,,No,Trentyn Flowers
100,2024,"Freeman, Enrique",PF,"6'7""",212.0,31.0,35.0,3.0,10.99,,Yes,Enrique Freeman
101,2024,"Furphy, Johnny",SF,"6'8""",188.8,26.0,32.0,3.0,11.15,,Yes,Johnny Furphy
102,2024,"George, Kyshawn",SF,"6'7""",208.8,27.0,32.0,3.32,11.9,,Yes,Kyshawn George
103,2024,"Grant-Foster, Tyon",SF,"6'6""",215.2,,,,,,No,Tyon Grant-Foster
104,2024,"Hall, PJ",C,"6'8""",239.6,32.5,39.5,3.35,11.76,,No,PJ Hall
105,2024,"Hawkins, Coleman",PF,"6'8""",215.2,24.0,29.5,3.3,12.05,,No,Coleman Hawkins
106,2024,"Holland II, Ron",SF,"6'6""",196.8,30.0,38.0,3.1,11.1,,Yes,Ron Holland II
107,2024,"Holmes II, DaRon",C,"6'9""",236.2,27.5,34.0,3.25,11.2,,No,DaRon Holmes II
108,2024,"Hukporti, Ariel",C,"6'11""",246.2,,,,,,Yes,Ariel Hukporti
109,2024,"Ighodaro, Oso",C,"6'10""",222.0,35.0,39.5,3.09,11.25,,Yes,Oso Ighodaro
110,2024,"Ingram, Harrison",SF,"6'5""",233.6,29.0,35.0,3.17,11.36,,Yes,Harrison Ingram
111,2024,"James, Bronny",SG,"6'2""",210.4,32.0,40.5,3.09,10.96,,Yes,Bronny James
112,2024,"Johnson, AJ",SG,"6'4""",167.0,29.0,38.0,3.15,10.76,,Yes,AJ Johnson
113,2024,"Johnson, Keshad",PF,"6'6""",224.0,31.5,42.0,3.03,11.38,,No,Keshad Johnson
114,2024,"Jones, David",SF,"6'4""",211.2,28.0,34.5,3.2,11.08,,No,David Jones
