uniqueID,Year,"Player Name (Last Name, First Name)",Position,Height in Ft & In,Weight in lbs,Standing vertical Jump,Maximum Vertical Jump (with steps),three-quarter court sprint,lane agility drill,Bench Press test,Drafted?
1,2025,"Almansa, Izan",C,"6'9""",220.4,28,34,3.3,11.5,,No
2,2025,"Avdalas, Neoklis",SF,"6'8""",197.8,27,33.5,3.2,11,,No
3,2025,"Bailey, Ace",SF-PF,"6'8""",203,28,35,3,11,,Yes
4,2025,"Bates, Tamar",SG,"6'4""",191,28,34,3,11,,No
5,2025,"Brea, Koby",SG,"6'6""",202,28,34,3,11,,Yes
6,2025,"Broome, Johni",SF-PF,"6'9""",249,25,28,3,12,,Yes
7,2025,"Bryant, Carter",SF-PF,"6'6""",215,31,40,3,11,,Yes
8,2025,"Byrd, Miles",SG,"6'5""",182,32,36,3,11,,No
9,2025,"Clayton Jr., Walter",PG-SG,"6'2""",199,30,37,3,11,,Yes
10,2025,"Clifford, Nique",PG-SG,"6'5""",202,31,36,3,11,,Yes
11,2025,"Condon, Alex",SF-PF,"6'11""",222,30,35,3,12,,No
12,2025,"Coward, Cedric",PG-SG,"6'5""",213,33,39,3,11,,Yes
13,2025,"Demin, Egor",PG-SG,"6'8""",199,27,32,3,11,,Yes
14,2025,"Dixon, Eric",PF,"6'8""",259,28,33,3,12,,No
15,2025,"Edgecombe, VJ",PG-SG,"6'4""",193,30,39,3,11,,Yes
16,2025,"Fears, Jeremiah",PG-SG,"6'2""",180,33,37,3,11,,Yes
17,2025,"Flagg, Cooper",SF-PF,"6'8""",221,29,36,3,11,,Yes
18,2025,"Fland, Boogie",PG,"6'2""",172,,,,,,No
19,2025,"Fleming, Rasheer",SF-PF,"6'8""",232,27,33,3,11,,Yes
20,2025,"Goldin, Vladislav",C,"7'0""",253,27,30,4,12,,No
21,2025,"Haggerty, PJ",SG,"6'2""",189,28,32,3,12,,No
22,2025,"Harper, Dylan",PG-SG,"6'4""",213,31,37,3,11,,Yes
23,2025,"Henshall, Ben",SG,"6'6""",193,30,37,3,10,,No
24,2025,"Jakucionis, Kasparas",PG-SG,"6'5""",205,29,35,3,11,,Yes
25,2025,"James, Sion",SG,"6'4""",218,32,40,3,11,,Yes
26,2025,"Johnson, Tre",PG-SG,"6'5""",190,32,38,3,10,,Yes
27,2025,"Jones, Kam",PG,"6'3""",202,25,32,3,11,,Yes
28,2025,"Kalkbrenner, Ryan",C,"7'1""",257,29,33,3,12,,Yes
29,2025,"Knox, Karter",SF,"6'5""",214,32,40,3,11,,No
30,2025,"Knueppel, Kon",PG-SG,"6'5""",219,,,,,,Yes
31,2025,"Konan Niederhauser, Yanic",C,"6'11""",242.6,33.5,37,3.2,11.5,,Yes
32,2025,"Lanier, Chaz",PG-SG,"6'4""",206,33,39,3,11,,Yes
33,2025,"Lendeborg, Yaxel",PF,"6'8""",234.6,25.5,31.5,3.3,11.7,,No
34,2025,"Luis Jr., RJ",SF,"6'6""",210,31.5,38,3.1,11.2,,No
35,2025,"Maluach, Khaman",C,"7'1""",252.8,24,30,3.5,12.1,,Yes
36,2025,"Martin, Alijah",SG,"6'2""",208.4,29.5,38,3.1,11.1,,Yes
37,2025,"McNeeley, Liam",SF-PF,"6'7""",214.6,30.5,36.5,3.2,11.1,,Yes
38,2025,"Mgbako, Mackenzie",SF-PF,"6'8""",216.4,27.5,33,3.4,12,,No
39,2025,"Moore, Jalon",SF,"6'6""",203.4,32.5,39,3,11.7,,No
40,2025,"Murray-Boyles, Collin",SF-PF,"6'6""",239.2,29.5,34.5,3.2,11.2,,Yes
41,2025,"Nelson, Grant",PF,"6'10""",229.8,27,30,3.2,10.5,,No
42,2025,"Nembhard, Ryan",PG,"5'11""",175.8,26.5,32.5,3.2,11.5,,No
43,2025,"Newell, Asa",SF-PF,"6'9""",223.8,29.5,36.5,3.3,11,,Yes
44,2025,"Olbrich, Lachlan",PF,"6'9""",230.2,23.5,31,3.5,11.9,,Yes
45,2025,"Oweh, Otega",SG,"6'4""",212.6,27.5,35,3.2,10.9,,No
46,2025,"Pate, Dink",SG,"6'6""",200.8,24.5,32.5,3.3,10.6,,No
